signal_date,ticker,foreign_5d,inst_5d,score,contraction_ratio,entry_price,status,exit_price,exit_date,return_pct,hold_days
2026-04-05,373220,50135,489393,76.9,0.447,403000.0,CLOSED,403000.0,2026-04-14,0.0,9
2026-04-05,006400,244199,926404,80.6,0.483,404000.0,CLOSED,404000.0,2026-04-14,0.0,9
2026-04-05,086280,58969,-99925,63.0,0.589,261500.0,CLOSED,261500.0,2026-04-14,0.0,9
2026-04-05,010620,189955,-112800,68.3,0.0,223000.0,CLOSED,223000.0,2026-04-14,0.0,9
2026-04-05,336260,130928,-244099,79.0,0.735,36600.0,CLOSED,36600.0,2026-04-14,0.0,9
2026-04-05,032350,873054,-2134416,68.8,0.798,24800.0,CLOSED,24800.0,2026-04-14,0.0,9
2026-04-05,003160,225971,-723098,73.8,0.72,36550.0,CLOSED,36550.0,2026-04-14,0.0,9
2026-04-05,001390,283263,-16517,73.7,0.449,5970.0,CLOSED,5970.0,2026-04-14,0.0,9
2026-04-05,012030,78626,94003,72.8,0.769,1830.0,CLOSED,1830.0,2026-04-14,0.0,9
2026-04-05,035510,141088,-3910,73.6,0.696,18230.0,CLOSED,18230.0,2026-04-14,0.0,9
2026-04-05,105840,106383,-123699,77.1,0.491,26400.0,CLOSED,26400.0,2026-04-14,0.0,9
2026-04-05,008350,229030,-516,75.3,0.723,1290.0,CLOSED,1290.0,2026-04-14,0.0,9
2026-04-05,004140,163465,-1907,72.4,0.765,2670.0,CLOSED,2670.0,2026-04-14,0.0,9
2026-04-05,002200,114167,-1850,75.4,0.621,3240.0,CLOSED,3240.0,2026-04-14,0.0,9
2026-04-05,011700,65500,-101,75.3,0.7,4995.0,CLOSED,4995.0,2026-04-14,0.0,9
2026-04-05,008700,81253,121031,75.2,0.761,1318.0,CLOSED,1318.0,2026-04-14,0.0,9
2026-04-05,047400,273031,-86,74.2,0.52,1553.0,CLOSED,1553.0,2026-04-14,0.0,9
2026-04-05,155660,60075,991,63.6,0.789,4035.0,CLOSED,4035.0,2026-04-14,0.0,9
2026-04-05,021050,115943,-88,76.2,0.783,1255.0,CLOSED,1255.0,2026-04-14,0.0,9
2026-04-05,017040,390119,-61297,76.1,0.567,1464.0,CLOSED,1464.0,2026-04-14,0.0,9
2026-04-05,109070,170937,206,75.5,0.507,788.0,CLOSED,788.0,2026-04-14,0.0,9
2026-04-05,033250,54572,180,67.4,0.607,1030.0,CLOSED,1030.0,2026-04-14,0.0,9
2026-04-05,000250,165572,-312906,70.3,0.746,636000.0,CLOSED,636000.0,2026-04-14,0.0,9
2026-04-05,058470,124027,125385,74.1,0.2,99900.0,CLOSED,99900.0,2026-04-14,0.0,9
2026-04-05,263750,586199,529110,73.7,0.44,53700.0,CLOSED,53700.0,2026-04-14,0.0,9
2026-04-05,083650,103835,-12196,76.5,0.664,83200.0,CLOSED,83200.0,2026-04-14,0.0,9
2026-04-05,067310,171592,-124040,69.9,0.438,34850.0,CLOSED,34850.0,2026-04-14,0.0,9
2026-04-05,417200,107209,272957,79.7,0.74,16530.0,CLOSED,16530.0,2026-04-14,0.0,9
2026-04-05,131970,247645,-245188,77.5,0.377,65600.0,CLOSED,65600.0,2026-04-14,0.0,9
2026-04-05,060250,202355,-59722,76.7,0.382,21950.0,CLOSED,21950.0,2026-04-14,0.0,9
2026-04-05,102710,80767,-143201,62.3,0.677,61100.0,CLOSED,61100.0,2026-04-14,0.0,9
2026-04-05,006730,532281,-545435,75.1,0.675,17270.0,CLOSED,17270.0,2026-04-14,0.0,9
2026-04-05,036620,90234,-520662,67.7,0.758,6960.0,CLOSED,6960.0,2026-04-14,0.0,9
2026-04-05,025900,81142,-3435,67.1,0.449,10190.0,CLOSED,10190.0,2026-04-14,0.0,9
2026-04-05,475830,301163,-175523,70.9,0.608,113600.0,CLOSED,113600.0,2026-04-14,0.0,9
2026-04-05,317330,56681,604536,70.4,0.567,19690.0,CLOSED,19690.0,2026-04-14,0.0,9
2026-04-05,031330,88505,14923,78.6,0.68,4995.0,CLOSED,4995.0,2026-04-14,0.0,9
2026-04-05,099440,504868,-20103,78.2,0.746,6680.0,CLOSED,6680.0,2026-04-14,0.0,9
2026-04-05,353810,84484,-9101,66.1,0.75,7520.0,CLOSED,7520.0,2026-04-14,0.0,9
